WARD,PRECINCT,ID,RO_E15,RO_G15,Clinton_P16,Sanders_P16
01,001,C01001,93,166,145,306
01,002,C01002,75,179,138,278
01,003,C01003,149,120,164,260
01,004,C01004,145,132,170,215
01,005,C01005,144,73,171,201
01,006,C01006,144,146,165,233
01,007,C01007,79,107,94,188
01,008,C01008,158,111,188,168
01,009,C01009,106,158,165,182
01,010,C01010,138,88,171,231
01,011,C01011,149,104,175,232
01,012,C01012,139,161,134,302
01,013,C01013,40,81,76,115
01,014,C01014,147,123,184,241
01,015,C01015,85,171,134,249
01,016,C01016,64,164,141,214
01,017,C01017,83,168,114,286
01,018,C01018,104,185,150,284
01,019,C01019,126,262,182,351
01,020,C01020,72,166,111,241
01,021,C01021,154,78,163,232
01,022,C01022,68,99,122,180
01,023,C01023,155,240,185,421
01,024,C01024,55,145,149,260
01,025,C01025,77,124,121,297
01,026,C01026,39,159,129,201
01,027,C01027,118,129,169,219
01,028,C01028,51,82,118,39
01,029,C01029,139,118,140,223
01,030,C01030,83,227,156,295
01,031,C01031,123,156,173,241
01,032,C01032,138,126,144,244
01,033,C01033,140,142,189,220
01,034,C01034,86,149,110,262
01,035,C01035,145,154,178,269
01,036,C01036,150,82,146,201
01,037,C01037,132,109,151,225
01,038,C01038,109,162,195,223
01,039,C01039,107,129,149,184
01,040,C01040,165,116,196,179
01,041,C01041,72,120,88,180
01,042,C01042,29,62,37,87
01,043,C01043,86,97,98,184
01,044,C01044,87,109,97,255
02,001,C02001,137,114,148,236
02,002,C02002,299,45,169,64
02,003,C02003,176,100,186,228
02,004,C02004,141,127,128,229
02,005,C02005,168,145,162,247
02,006,C02006,132,137,140,256
02,007,C02007,170,112,166,183
02,008,C02008,148,139,146,266
02,009,C02009,229,42,148,90
02,010,C02010,334,35,176,65
02,011,C02011,344,33,192,96
02,012,C02012,258,78,210,132
02,013,C02013,336,62,201,104
02,014,C02014,172,171,143,267
02,015,C02015,174,102,139,217
02,016,C02016,148,71,129,194
02,017,C02017,218,133,149,290
02,018,C02018,246,43,183,93
02,019,C02019,274,31,148,54
02,020,C02020,234,37,171,127
02,021,C02021,186,129,151,225
02,022,C02022,319,60,160,131
02,023,C02023,310,27,159,52
02,024,C02024,252,44,196,105
02,025,C02025,186,82,163,205
02,026,C02026,190,56,178,119
02,027,C02027,256,43,164,106
02,028,C02028,273,71,180,130
02,029,C02029,248,44,165,133
02,030,C02030,238,55,171,82
02,031,C02031,425,59,256,103
02,032,C02032,193,42,127,98
02,033,C02033,446,86,288,163
02,034,C02034,309,34,168,62
02,035,C02035,237,44,186,125
02,036,C02036,228,50,150,100
02,037,C02037,282,81,185,90
02,038,C02038,322,54,166,99
02,039,C02039,207,44,120,67
02,040,C02040,211,41,174,100
02,041,C02041,181,29,135,90
02,042,C02042,210,69,194,135
02,043,C02043,301,54,189,144
02,044,C02044,190,42,128,57
02,045,C02045,238,104,200,142
02,046,C02046,155,32,88,93
03,001,C03001,198,147,358,212
03,002,C03002,307,141,436,146
03,003,C03003,241,102,294,117
03,004,C03004,177,174,290,194
03,005,C03005,147,76,228,108
03,006,C03006,261,85,215,159
03,007,C03007,155,124,247,81
03,008,C03008,134,95,274,169
03,009,C03009,175,129,249,195
03,010,C03010,94,64,180,72
03,011,C03011,171,133,269,203
03,012,C03012,211,154,310,165
03,013,C03013,277,92,276,142
03,014,C03014,183,77,221,184
03,015,C03015,156,127,312,157
03,016,C03016,179,112,284,157
03,017,C03017,204,105,258,187
03,018,C03018,264,168,427,237
03,019,C03019,253,84,235,123
03,020,C03020,182,136,295,198
03,021,C03021,293,109,296,89
03,022,C03022,204,92,211,258
03,023,C03023,177,114,308,124
03,024,C03024,188,103,280,137
03,025,C03025,372,86,333,158
03,026,C03026,358,92,298,158
