WARD,PRECINCT,JOINID,TOTVOTES,Joyce,Vallas,Wilson,Preckw,Daley,McCarth,Chico,Mendoza,Enyia,Ford,Sal_Grif,Lightft,Fioretti,Kozlar,P_Joyce,P_Vallas,P_Wilson,P_Preckw,P_Daley,P_McCarth,P_Chico,P_Mendoza,P_Enyia,P_Ford,P_Sal_Grif,P_Lightft,P_Fioretti,P_Kozlar,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
1,1,C01001,315,10,8,14,52,32,3,19,32,56,2,1,84,1,1,0.031746032,0.025396825,0.044444444,0.165079365,0.101587302,0.00952381,0.06031746,0.101587302,0.177777778,0.006349206,0.003174603,0.266666667,0.003174603,0.003174603,0.26453901,0.079432616,0.634751774,0.01276596,0.00851064
1,2,C01002,242,10,8,19,38,29,2,13,29,36,2,1,53,2,0,0.041322314,0.033057851,0.078512397,0.157024793,0.119834711,0.008264463,0.053719008,0.119834711,0.148760331,0.008264463,0.004132231,0.219008264,0.008264463,0,0.117337988,0.145359034,0.716287217,0.005837711,0.01517805
1,3,C01003,284,13,10,6,43,42,5,11,14,50,0,0,86,1,3,0.045774648,0.035211268,0.021126761,0.151408451,0.147887324,0.017605634,0.038732394,0.049295775,0.176056338,0,0,0.302816901,0.003521127,0.01056338,0.633199461,0.02008032,0.292503347,0.036813925,0.017402947
1,4,C01004,293,11,21,5,53,46,9,11,28,32,2,1,66,4,4,0.037542662,0.071672355,0.017064846,0.180887372,0.156996587,0.030716724,0.037542662,0.09556314,0.109215017,0.006825939,0.003412969,0.225255973,0.013651877,0.013651877,0.545203557,0.01794341,0.385093202,0.035196685,0.016563146
1,5,C01005,273,9,17,5,42,34,5,9,19,52,0,1,75,3,2,0.032967033,0.062271062,0.018315018,0.153846154,0.124542125,0.018315018,0.032967033,0.06959707,0.19047619,0,0.003663004,0.274725275,0.010989011,0.007326007,0.757744222,0.060365368,0.116759352,0.03891978,0.026211279
1,6,C01006,280,15,14,5,25,49,8,20,37,40,0,1,64,0,2,0.053571429,0.05,0.017857143,0.089285714,0.175,0.028571429,0.071428571,0.132142857,0.142857143,0,0.003571429,0.228571429,0,0.007142857,0.474137839,0.05636621,0.42440312,0.025862064,0.019230768
1,7,C01007,226,5,11,10,41,16,3,13,30,29,2,0,63,2,1,0.022123894,0.048672566,0.044247788,0.181415929,0.07079646,0.013274336,0.057522124,0.132743363,0.128318584,0.008849558,0,0.278761062,0.008849558,0.004424779,0.503030281,0.061818179,0.3987879,0.021818184,0.014545455
1,8,C01008,267,10,12,20,47,35,6,9,34,23,1,1,58,1,10,0.037453184,0.04494382,0.074906367,0.176029963,0.131086142,0.02247191,0.033707865,0.127340824,0.086142322,0.003745318,0.003745318,0.217228464,0.003745318,0.037453184,0.608256133,0.146588026,0.192923319,0.03285594,0.019376582
1,9,C01009,271,15,10,6,43,38,9,22,49,30,0,1,44,3,1,0.055350554,0.036900369,0.022140221,0.158671587,0.140221402,0.033210332,0.081180812,0.180811808,0.110701107,0,0.003690037,0.162361624,0.011070111,0.003690037,0.325051796,0.039337474,0.566252552,0.051759834,0.017598344
1,10,C01010,266,7,11,5,43,38,8,12,27,25,0,1,88,1,0,0.026315789,0.041353383,0.018796992,0.161654135,0.142857143,0.030075188,0.045112782,0.101503759,0.093984962,0,0.003759398,0.330827068,0.003759398,0,0.670621086,0.026517792,0.21284019,0.048848569,0.041172363
1,11,C01011,307,9,16,5,44,39,4,6,22,52,1,4,102,3,0,0.029315961,0.052117264,0.016286645,0.143322476,0.127035831,0.013029316,0.019543974,0.071661238,0.169381107,0.003257329,0.013029316,0.332247557,0.009771987,0,0.787746159,0.032093371,0.110138597,0.045951853,0.024070021
1,12,C01012,349,10,16,4,52,31,9,22,37,48,4,0,110,4,2,0.028653295,0.045845272,0.011461318,0.148997135,0.088825215,0.025787966,0.063037249,0.106017192,0.137535817,0.011461318,0,0.315186246,0.011461318,0.005730659,0.849999996,0.015333332,0.086000006,0.029333333,0.019333333
1,13,C01013,148,1,9,5,31,19,6,1,15,27,1,1,30,0,2,0.006756757,0.060810811,0.033783784,0.209459459,0.128378378,0.040540541,0.006756757,0.101351351,0.182432432,0.006756757,0.006756757,0.202702703,0,0.013513514,0.287298399,0.013104839,0.659274177,0.022177423,0.018145162
