WARD,TOTVOTES,Joyce,P_Joyce,Vallas,P_Vallas,Wilson,P_Wilson,Preckw,P_Preckw,Daley,P_Daly,McCarth,P_McCarth,Chico,P_Chico,Mendoza,P_Mendoza,Enyia,P_Enyia,Ford,P_Ford,Sal_Grif,P_Sal_Grif,Lightft,P_Lightft,Fioretti,P_Fioretti,Kozlar,P_Kozlar,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
1,11754,415,0.035307129,529,0.045005955,344,0.029266633,1898,0.161476944,1522,0.129487834,222,0.018887187,616,0.052407691,1273,0.108303556,1653,0.140632976,75,0.006380807,43,0.003658329,2994,0.254721797,93,0.0079122,77,0.006550961,56152.39245,24059.94638,25523.71184,3712.267704,94.94587774,1708.164032,26.99424779,125.0321468,901.3302236,0.454543622,0.066110588,0.428475891,0.030420147,0.020449752
2,12942,487,0.037629424,970,0.074949776,342,0.026425591,1530,0.11821975,3701,0.285968166,391,0.030211714,585,0.045201669,943,0.072863545,820,0.063359604,60,0.004636069,50,0.003863391,2909,0.22477206,85,0.006567764,69,0.005331479,55980.83292,5311.239052,42715.18753,3218.877979,61.0611343,3648.362409,13.00197895,110.9584734,902.1443625,0.763032368,0.057499644,0.094876028,0.065171635,0.019420325
3,12867,380,0.029532914,496,0.038548224,2126,0.16522888,2958,0.229890417,1717,0.133442139,168,0.013056657,472,0.036682987,638,0.049584208,1226,0.095282506,136,0.010569674,40,0.003108728,2314,0.179839901,154,0.011968602,42,0.003264164,52907.94616,1964.860068,11788.04112,34057.37752,69.92190321,3962.818795,7.998122202,80.3395551,976.5890675,0.222802849,0.643710066,0.037137334,0.074900258,0.021449494
4,13545,250,0.018456995,389,0.028719085,1752,0.129346622,4309,0.318124769,1246,0.091989664,118,0.008711702,332,0.02451089,531,0.039202658,1517,0.111997047,171,0.012624585,52,0.003839055,2714,0.20036914,134,0.009892949,30,0.002214839,54276.79291,2005.490014,12382.11712,34326.91098,81.13407696,4074.603108,14.01332538,127.8561395,1264.668137,0.228129122,0.63244177,0.036949309,0.075070816,0.027408983
5,12646,190,0.015024514,320,0.025304444,1692,0.133797248,4386,0.346829037,1015,0.080262534,78,0.006167958,237,0.018741104,387,0.030602562,1417,0.112051241,139,0.010991618,46,0.003637514,2677,0.21168749,49,0.003874743,13,0.001027993,51439.4247,1914.350838,11932.07254,32679.00769,93.12590508,3366.600348,5,131.8648815,1317.402499,0.231963569,0.63529108,0.037215635,0.065447862,0.030081854
6,9770,201,0.020573183,200,0.020470829,2914,0.29825998,2458,0.251586489,780,0.079836233,69,0.007062436,241,0.024667349,263,0.02691914,909,0.093039918,190,0.019447288,24,0.002456499,1456,0.149027636,57,0.005834186,8,0.000818833,52357.66825,535.9770659,226.1953442,50919.2496,113.0018569,27.00203741,7.999779251,39.00032015,489.242247,0.004320195,0.972527068,0.01023684,0.000515723,0.012400174
7,10025,186,0.018553616,247,0.024638404,2670,0.266334165,2419,0.241296758,869,0.086683292,86,0.008578554,345,0.034413965,431,0.042992519,1053,0.105037406,150,0.014962594,43,0.004289277,1454,0.145037406,59,0.005885287,13,0.001296758,51517.55208,2568.585669,777.7263219,47221.6927,113.8381609,88.86284375,2,83.95907475,660.8873068,0.015096337,0.916613674,0.049858457,0.001724904,0.016706627
8,13547,291,0.021480771,303,0.022366576,3440,0.25393076,3575,0.263896066,1259,0.092935705,86,0.006348269,363,0.026795601,417,0.030781723,1441,0.106370414,238,0.017568465,49,0.003617037,1996,0.147338894,75,0.005536281,14,0.001033439,51684.68344,694.9155207,291.877678,49878.89308,99.0040456,73.00109562,8,59.00066412,579.9913543,0.005647276,0.965061402,0.013445289,0.001412432,0.0144336
9,10698,245,0.022901477,284,0.026547018,3257,0.30444943,2417,0.22593008,968,0.090484203,82,0.007664984,341,0.031875117,323,0.030192559,996,0.093101514,142,0.013273509,37,0.00345859,1518,0.141895681,77,0.007197607,11,0.00102823,51839.70238,2194.995673,773.0161983,48190.67219,80.99793828,33.00037732,8,46.00001274,513.0199978,0.014911664,0.929609353,0.042341981,0.000636585,0.012500418
10,7966,588,0.073813708,503,0.063143359,542,0.068039166,562,0.070549837,997,0.125156917,482,0.060507155,1853,0.232613608,1473,0.184910871,326,0.040923927,27,0.003389405,13,0.001631936,507,0.063645493,63,0.007908612,30,0.003766006,51556.9074,32590.89178,9159.058251,9192.868863,91.00174441,138.9890058,22,29.05051534,333.047245,0.177649489,0.178305281,0.632134343,0.002695837,0.00921505
