WARD,PRECINCT,JOINID,USR18D,USR18R,DP18_BW,DP18_MQ,DP18_SM,DP18_SJS
1,3,C01003,588,62,35,136,77,6
1,4,C01004,563,68,32,121,74,8
1,5,C01005,590,59,29,123,64,10
1,6,C01006,476,76,30,102,71,4
1,8,C01008,445,60,25,97,75,8
1,10,C01010,652,84,30,111,75,2
1,11,C01011,581,84,35,124,67,12
1,114,C01114,359,36,14,110,53,2
1,21,C01021,708,66,30,126,75,6
1,28,C01028,121,14,14,39,20,8
1,32,C01032,283,33,19,61,48,7
1,33,C01033,560,89,30,153,72,7
1,35,C01035,594,90,41,128,85,3
1,36,C01036,528,68,27,118,55,3
1,37,C01037,487,92,28,125,64,2
1,38,C01038,51,6,1,19,18,2
1,39,C01039,435,59,27,98,61,8
1,40,C01040,461,83,42,97,72,14
2,1,C02001,564,84,32,101,81,5
2,3,C02003,590,75,36,136,91,5
2,4,C02004,464,50,24,94,59,1
2,5,C02005,615,78,19,127,94,11
2,6,C02006,494,58,19,107,59,7
2,7,C02007,472,77,38,94,57,6
2,8,C02008,586,88,33,117,79,4
2,12,C02012,193,48,8,55,19,2
2,14,C02014,85,11,3,13,15,1
2,15,C02015,491,66,30,116,61,15
2,16,C02016,467,48,35,107,55,6
2,17,C02017,1,0,0,0,0,0
2,20,C02020,279,75,5,98,34,4
2,21,C02021,531,60,33,116,79,11
2,22,C02022,508,123,10,167,37,8
2,24,C02024,426,106,23,154,30,11
2,25,C02025,531,83,29,128,59,8
2,26,C02026,426,93,14,108,38,6
2,28,C02028,319,78,11,117,46,6
2,30,C02030,356,133,14,130,36,5
2,31,C02031,516,163,17,212,46,13
2,33,C02033,649,211,18,262,56,17
2,37,C02037,424,113,13,153,34,10
2,38,C02038,81,41,2,32,3,2
2,44,C02044,272,85,10,103,19,7
26,28,C26028,256,38,19,61,39,7
26,32,C26032,389,53,26,91,51,7
27,7,C27007,566,60,55,114,81,9
27,12,C27012,276,66,8,69,27,2
27,13,C27013,80,11,15,37,30,4
27,27,C27027,22,2,0,4,1,0
27,35,C27035,30,1,0,2,2,0
27,37,C27037,19,1,3,5,2,0
27,40,C27040,70,12,7,12,10,1
27,42,C27042,147,43,9,22,10,3
27,43,C27043,14,1,0,5,2,1
27,46,C27046,293,87,10,77,20,7
29,23,C29023,46,9,6,17,8,2
29,29,C29029,279,105,26,82,48,7
29,31,C29031,281,134,18,95,22,7
29,32,C29032,271,135,15,72,23,8
29,38,C29038,2,0,0,0,0,0
29,39,C29039,158,43,18,42,16,3
30,15,C30015,261,43,8,107,44,15
30,17,C30017,179,30,4,51,26,2
30,21,C30021,265,53,18,76,21,10
32,1,C32001,553,80,25,147,66,11
32,2,C32002,532,95,25,119,54,9
32,4,C32004,477,71,35,141,55,5
32,5,C32005,508,79,26,116,75,8
32,6,C32006,624,59,18,149,66,6
32,7,C32007,543,86,18,141,58,3
32,8,C32008,580,136,20,144,44,5
32,9,C32009,462,90,20,135,49,6
32,10,C32010,501,107,23,140,53,9
32,13,C32013,493,133,19,135,45,3
32,15,C32015,478,103,31,135,48,8
32,16,C32016,502,64,10,141,82,8
32,18,C32018,412,130,10,135,35,7
32,19,C32019,509,74,16,109,72,7
32,21,C32021,542,91,28,167,69,4
32,23,C32023,549,115,10,134,50,9
32,24,C32024,356,104,15,80,26,2
32,25,C32025,506,77,20,147,57,7
32,27,C32027,436,127,16,118,44,12
32,29,C32029,574,65,24,148,87,7
32,30,C32030,490,115,12,121,31,11
32,31,C32031,526,98,23,150,53,8
32,32,C32032,566,84,20,134,68,14
32,33,C32033,511,102,37,138,47,9
32,34,C32034,582,65,27,119,66,16
32,35,C32035,522,103,26,122,46,1
32,36,C32036,554,90,28,148,60,2
32,37,C32037,509,74,28,102,61,9
32,38,C32038,463,84,28,111,43,8
32,39,C32039,519,149,13,168,32,6
32,40,C32040,569,85,27,177,49,8
32,41,C32041,527,91,19,146,53,10
32,42,C32042,439,89,22,105,55,7
33,2,C33002,641,62,26,186,126,11
33,3,C33003,47,4,3,12,14,3
33,5,C33005,454,58,24,82,67,5
33,7,C33007,355,40,15,82,51,9
33,8,C33008,424,45,19,194,55,11
33,10,C33010,69,8,0,12,7,1
33,18,C33018,688,69,41,130,125,9
33,19,C33019,253,33,11,66,42,3
33,23,C33023,32,6,1,12,4,0
33,24,C33024,658,88,34,278,140,9
33,27,C33027,11,2,0,0,1,0
36,7,C36007,336,133,23,152,33,14
36,14,C36014,327,72,16,117,26,12
36,15,C36015,320,83,30,128,30,8
36,16,C36016,307,62,14,98,24,9
36,17,C36017,363,79,18,135,39,8
36,18,C36018,315,85,18,110,22,12
36,20,C36020,143,43,13,43,20,6
36,24,C36024,257,74,16,59,21,7
36,26,C36026,276,102,21,74,19,6
36,28,C36028,266,86,20,52,27,10
36,29,C36029,161,51,8,52,11,2
36,30,C36030,308,64,10,104,23,4
38,2,C38002,233,229,20,126,24,12
38,3,C38003,294,121,15,82,29,13
38,4,C38004,267,125,18,106,33,4
38,5,C38005,295,132,17,114,20,9
38,6,C38006,277,137,13,88,36,4
38,7,C38007,244,138,10,111,19,7
38,8,C38008,267,116,7,106,19,8
38,9,C38009,309,160,22,116,23,16
38,10,C38010,241,97,19,78,19,10
38,11,C38011,279,87,19,112,43,9
38,12,C38012,234,185,24,115,16,10
38,13,C38013,283,152,14,125,26,16
38,14,C38014,322,129,19,115,33,11
38,15,C38015,293,85,23,98,27,9
38,16,C38016,286,115,21,114,26,12
38,17,C38017,329,203,27,123,28,8
38,18,C38018,310,158,12,129,35,8
38,19,C38019,344,147,20,155,29,12
38,20,C38020,269,157,20,102,31,9
38,21,C38021,270,92,15,103,32,7
38,22,C38022,317,94,27,113,41,11
