WARD,PRECINCT,JOINID,USR18D,USR18R
01,012,C01012,562,92
01,014,C01014,126,14
01,015,C01015,72,4
01,032,C01032,180,51
02,002,C02002,336,118
02,009,C02009,389,145
02,010,C02010,335,157
02,011,C02011,445,182
02,012,C02012,273,16
02,013,C02013,401,117
02,014,C02014,441,68
02,017,C02017,584,89
02,018,C02018,425,137
02,019,C02019,309,129
02,020,C02020,240,63
02,021,C02021,13,2
02,023,C02023,286,124
02,027,C02027,379,154
02,028,C02028,189,66
02,029,C02029,487,160
02,032,C02032,340,114
02,034,C02034,331,137
02,035,C02035,552,185
02,036,C02036,489,153
02,038,C02038,290,126
02,039,C02039,256,145
02,040,C02040,609,178
02,041,C02041,457,133
02,042,C02042,509,132
02,043,C02043,594,193
02,045,C02045,522,143
02,046,C02046,227,95
03,001,C03001,621,18
03,002,C03002,572,9
03,003,C03003,422,34
03,004,C03004,268,4
03,005,C03005,293,8
03,006,C03006,577,149
03,008,C03008,396,16
03,009,C03009,497,17
03,010,C03010,226,3
03,011,C03011,494,15
03,012,C03012,447,9
03,013,C03013,527,92
03,014,C03014,523,72
03,015,C03015,461,7
03,016,C03016,418,13
03,017,C03017,684,62
03,018,C03018,477,16
03,019,C03019,481,150
03,020,C03020,508,8
03,021,C03021,509,106
03,022,C03022,623,118
03,023,C03023,178,6
03,024,C03024,404,14
03,025,C03025,717,223
03,026,C03026,507,120
03,027,C03027,556,157
03,028,C03028,315,11
03,029,C03029,459,22
03,030,C03030,106,5
03,031,C03031,521,7
03,032,C03032,562,101
03,033,C03033,570,100
03,034,C03034,596,98
03,035,C03035,133,10
03,036,C03036,261,6
03,037,C03037,439,9
03,039,C03039,757,137
03,040,C03040,507,47
04,002,C04002,599,111
04,004,C04004,635,16
04,005,C04005,495,21
04,006,C04006,578,37
04,007,C04007,593,20
04,008,C04008,55,0
04,010,C04010,638,18
04,011,C04011,321,9
04,013,C04013,582,90
04,014,C04014,101,5
04,015,C04015,175,10
04,016,C04016,815,117
04,017,C04017,634,75
04,020,C04020,441,75
04,021,C04021,675,92
04,022,C04022,5,0
04,025,C04025,520,108
04,028,C04028,299,16
04,029,C04029,132,3
04,030,C04030,70,0
04,034,C04034,446,12
04,035,C04035,591,21
04,036,C04036,286,9
04,037,C04037,877,141
06,021,C06021,198,5
11,002,C11002,24,9
11,006,C11006,601,117
11,007,C11007,615,63
11,014,C11014,166,66
11,030,C11030,169,56
11,033,C11033,443,114
11,034,C11034,121,35
11,035,C11035,93,20
11,036,C11036,141,37
11,037,C11037,107,18
12,010,C12010,64,0
12,015,C12015,146,14
12,018,C12018,130,8
15,002,C15002,212,4
15,003,C15003,217,10
15,007,C15007,235,10
15,013,C15013,28,5
15,014,C15014,3,0
15,016,C15016,9,2
15,017,C15017,251,13
15,018,C15018,209,2
15,020,C15020,252,9
15,021,C15021,210,5
15,022,C15022,275,6
15,023,C15023,261,3
15,024,C15024,204,2
16,002,C16002,266,18
16,003,C16003,225,6
16,004,C16004,283,11
16,005,C16005,193,8
16,006,C16006,279,5
16,007,C16007,240,9
16,008,C16008,178,8
16,009,C16009,18,1
16,010,C16010,264,3
16,011,C16011,265,7
16,012,C16012,237,7
16,013,C16013,252,17
16,014,C16014,206,6
16,015,C16015,287,6
16,016,C16016,266,3
16,017,C16017,314,22
16,018,C16018,307,8
16,019,C16019,237,9
16,020,C16020,219,8
16,021,C16021,233,10
16,022,C16022,227,7
16,023,C16023,28,3
16,024,C16024,151,2
16,025,C16025,307,19
16,026,C16026,209,7
16,027,C16027,232,5
16,029,C16029,269,2
16,031,C16031,223,4
16,033,C16033,255,8
16,034,C16034,204,2
16,035,C16035,229,8
16,036,C16036,214,3
17,006,C17006,166,5
17,007,C17007,271,11
17,008,C17008,10,0
17,012,C17012,358,21
17,013,C17013,286,8
17,014,C17014,357,24
17,016,C17016,85,5
17,019,C17019,195,6
17,025,C17025,14,0
17,031,C17031,207,3
17,033,C17033,148,6
17,035,C17035,134,7
17,036,C17036,55,1
20,002,C20002,153,4
20,004,C20004,124,1
20,006,C20006,167,4
20,011,C20011,305,8
20,015,C20015,140,10
20,017,C20017,206,15
20,020,C20020,222,22
20,021,C20021,251,10
20,025,C20025,260,13
20,027,C20027,86,7
20,030,C20030,170,3
20,031,C20031,319,2
20,032,C20032,362,5
20,036,C20036,121,5
20,037,C20037,5,0
20,038,C20038,121,5
20,039,C20039,24,1
22,014,C22014,126,6
22,015,C22015,9,0
22,019,C22019,168,8
22,021,C22021,358,8
23,017,C23017,80,9
23,019,C23019,20,3
23,031,C23031,48,12
24,001,C24001,287,5
24,002,C24002,295,7
24,003,C24003,329,8
24,004,C24004,249,7
24,005,C24005,174,2
24,006,C24006,314,6
24,007,C24007,192,15
24,008,C24008,153,4
24,009,C24009,295,7
24,010,C24010,136,4
24,011,C24011,347,17
24,012,C24012,180,9
24,013,C24013,171,5
24,014,C24014,292,6
24,015,C24015,162,6
24,016,C24016,157,18
24,017,C24017,246,9
24,018,C24018,357,4
24,019,C24019,378,3
24,020,C24020,265,4
24,021,C24021,147,3
24,022,C24022,391,7
24,023,C24023,247,8
24,024,C24024,337,14
24,025,C24025,264,5
24,026,C24026,425,13
24,027,C24027,329,7
24,028,C24028,210,4
24,029,C24029,247,5
24,030,C24030,182,3
24,031,C24031,340,8
24,032,C24032,160,7
24,033,C24033,186,4
24,034,C24034,294,7
24,035,C24035,295,2
24,036,C24036,368,11
24,037,C24037,182,7
24,038,C24038,250,11
24,039,C24039,317,18
24,040,C24040,362,9
24,041,C24041,216,6
25,003,C25003,627,161
25,004,C25004,362,32
25,005,C25005,122,28
25,010,C25010,596,154
25,014,C25014,210,38
25,016,C25016,586,182
25,018,C25018,230,54
25,020,C25020,294,9
25,021,C25021,752,123
25,025,C25025,369,114
25,027,C25027,474,96
25,029,C25029,344,27
25,031,C25031,702,206
26,001,C26001,185,15
26,003,C26003,383,60
26,004,C26004,217,15
26,010,C26010,229,9
26,017,C26017,241,80
26,019,C26019,203,19
26,021,C26021,401,31
26,027,C26027,190,18
26,028,C26028,208,36
26,033,C26033,318,25
26,036,C26036,321,39
26,039,C26039,212,26
26,045,C26045,71,13
26,046,C26046,207,64
27,001,C27001,754,160
27,002,C27002,397,75
27,003,C27003,237,10
27,004,C27004,201,15
27,005,C27005,305,19
27,006,C27006,437,75
27,008,C27008,295,11
27,009,C27009,174,60
27,010,C27010,418,14
27,011,C27011,492,121
27,013,C27013,458,23
27,014,C27014,203,2
27,015,C27015,206,6
27,016,C27016,413,89
27,017,C27017,374,24
27,018,C27018,278,13
27,019,C27019,190,13
27,020,C27020,315,5
27,021,C27021,380,88
27,022,C27022,190,5
27,023,C27023,290,5
27,024,C27024,275,14
27,025,C27025,347,28
27,026,C27026,301,13
27,027,C27027,445,28
27,028,C27028,332,85
27,029,C27029,254,9
27,030,C27030,182,9
27,031,C27031,312,7
27,032,C27032,344,23
27,033,C27033,396,78
27,034,C27034,285,10
27,035,C27035,398,99
27,036,C27036,322,12
27,037,C27037,429,88
27,038,C27038,551,107
27,039,C27039,282,9
27,040,C27040,450,102
27,041,C27041,341,4
27,042,C27042,110,6
27,043,C27043,238,16
27,044,C27044,264,6
27,045,C27045,776,201
27,047,C27047,271,19
27,048,C27048,730,108
27,049,C27049,284,8
27,050,C27050,374,11
28,001,C28001,225,8
28,002,C28002,293,9
28,003,C28003,261,8
28,004,C28004,284,58
28,005,C28005,209,13
28,006,C28006,180,21
28,007,C28007,305,8
28,008,C28008,370,72
28,009,C28009,316,4
28,010,C28010,406,55
28,011,C28011,629,58
28,012,C28012,321,3
28,013,C28013,363,10
28,014,C28014,247,3
28,015,C28015,69,1
28,016,C28016,200,5
28,017,C28017,273,4
28,018,C28018,283,2
28,019,C28019,267,25
28,020,C28020,293,5
28,021,C28021,264,4
28,022,C28022,285,12
28,023,C28023,359,10
28,024,C28024,250,14
28,025,C28025,432,13
28,026,C28026,310,8
28,027,C28027,284,95
28,028,C28028,359,87
28,029,C28029,165,8
28,030,C28030,49,2
28,031,C28031,423,14
28,032,C28032,291,9
28,033,C28033,335,6
28,034,C28034,545,20
28,035,C28035,365,8
28,036,C28036,181,3
28,037,C28037,403,3
28,038,C28038,149,6
28,039,C28039,235,9
28,040,C28040,416,9
28,041,C28041,227,7
28,042,C28042,324,6
28,043,C28043,390,4
28,044,C28044,225,4
28,045,C28045,371,78
28,046,C28046,575,88
29,001,C29001,442,83
29,002,C29002,511,13
29,003,C29003,427,7
29,004,C29004,424,6
29,005,C29005,327,14
29,006,C29006,337,9
29,007,C29007,382,35
29,008,C29008,347,6
29,009,C29009,1,1
29,010,C29010,451,93
29,011,C29011,233,6
29,012,C29012,473,16
29,013,C29013,422,12
29,014,C29014,362,9
29,015,C29015,447,18
29,016,C29016,353,7
29,017,C29017,355,5
29,018,C29018,377,10
29,019,C29019,392,15
29,020,C29020,473,13
29,021,C29021,497,9
29,022,C29022,270,23
29,024,C29024,340,15
29,025,C29025,465,7
29,026,C29026,388,20
29,027,C29027,360,4
29,028,C29028,475,10
29,033,C29033,283,16
29,034,C29034,277,29
29,035,C29035,296,6
29,036,C29036,338,11
29,037,C29037,377,17
29,040,C29040,433,12
29,041,C29041,307,6
29,042,C29042,440,4
29,043,C29043,287,33
29,044,C29044,489,26
36,005,C36005,306,37
36,021,C36021,73,11
37,001,C37001,228,15
37,002,C37002,272,20
37,003,C37003,261,6
37,004,C37004,256,25
37,005,C37005,378,11
37,006,C37006,391,8
37,007,C37007,248,8
37,008,C37008,244,13
37,009,C37009,367,8
37,010,C37010,397,19
37,011,C37011,238,6
37,012,C37012,247,15
37,013,C37013,254,7
37,014,C37014,361,11
37,015,C37015,354,7
37,016,C37016,376,13
37,017,C37017,285,8
37,018,C37018,301,11
37,019,C37019,233,11
37,020,C37020,289,7
37,021,C37021,310,19
37,022,C37022,288,27
37,023,C37023,321,8
37,024,C37024,378,11
37,025,C37025,308,8
37,026,C37026,428,19
37,027,C37027,312,12
37,028,C37028,290,15
37,029,C37029,309,14
37,030,C37030,338,6
37,031,C37031,355,7
37,032,C37032,300,14
37,033,C37033,360,15
37,034,C37034,327,11
37,035,C37035,353,9
37,036,C37036,339,4
37,037,C37037,374,12
37,038,C37038,340,12
37,039,C37039,319,15
37,040,C37040,360,6
37,041,C37041,339,16
42,001,C42001,364,164
42,002,C42002,526,128
42,003,C42003,501,113
42,004,C42004,891,300
42,005,C42005,406,129
42,006,C42006,411,169
42,007,C42007,528,222
42,008,C42008,410,116
42,009,C42009,585,147
42,010,C42010,644,185
42,011,C42011,271,148
42,012,C42012,380,150
42,013,C42013,365,150
42,014,C42014,585,208
42,015,C42015,500,187
42,016,C42016,501,136
42,017,C42017,616,228
42,018,C42018,506,172
42,019,C42019,548,221
42,020,C42020,485,227
42,021,C42021,526,134
42,022,C42022,211,110
42,023,C42023,485,214
42,024,C42024,457,176
42,025,C42025,435,197
42,026,C42026,618,219
42,027,C42027,330,107
42,028,C42028,490,167
42,029,C42029,486,168
42,030,C42030,348,164
42,031,C42031,527,221
42,032,C42032,466,219
42,033,C42033,559,128
42,034,C42034,353,169
42,035,C42035,618,165
42,036,C42036,776,246
42,037,C42037,350,112
42,038,C42038,427,156
42,039,C42039,664,220
42,040,C42040,670,179
42,041,C42041,495,144
42,042,C42042,818,215
43,001,C43001,246,69
43,005,C43005,55,18
43,009,C43009,48,27
43,033,C43033,428,184
43,035,C43035,483,177
43,045,C43045,278,81
