JOINID,Moreno,Shaw,Hamilton,Locke,TOTVOTES,PER_M,PER_S,PER_H,PER_L,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
C01001,104,46,4,33,187,0.556149733,0.245989305,0.021390374,0.176470588,0.26453901,0.079432616,0.634751774,0.01276596,0.00851064
C01002,83,52,15,30,180,0.461111111,0.288888889,0.083333333,0.166666667,0.117337988,0.145359034,0.716287217,0.005837711,0.01517805
C01003,80,56,3,69,208,0.384615385,0.269230769,0.014423077,0.331730769,0.633199461,0.02008032,0.292503347,0.036813925,0.017402947
C01004,71,44,6,104,225,0.315555556,0.195555556,0.026666667,0.462222222,0.545203557,0.01794341,0.385093202,0.035196685,0.016563146
C01005,85,13,2,66,166,0.512048193,0.078313253,0.012048193,0.397590361,0.757744222,0.060365368,0.116759352,0.03891978,0.026211279
C01006,103,60,13,31,207,0.497584541,0.289855072,0.062801932,0.149758454,0.474137839,0.05636621,0.42440312,0.025862064,0.019230768
C01007,77,45,3,28,153,0.503267974,0.294117647,0.019607843,0.183006536,0.503030281,0.061818179,0.3987879,0.021818184,0.014545455
C01008,149,32,7,25,213,0.699530516,0.150234742,0.03286385,0.117370892,0.608256133,0.146588026,0.192923319,0.03285594,0.019376582
C01009,136,39,5,16,196,0.693877551,0.198979592,0.025510204,0.081632653,0.325051796,0.039337474,0.566252552,0.051759834,0.017598344
C01010,89,37,7,52,185,0.481081081,0.2,0.037837838,0.281081081,0.670621086,0.026517792,0.21284019,0.048848569,0.041172363
C01011,66,47,5,59,177,0.372881356,0.265536723,0.028248588,0.333333333,0.787746159,0.032093371,0.110138597,0.045951853,0.024070021
C01012,106,45,20,47,218,0.486238532,0.206422018,0.091743119,0.21559633,0.849999996,0.015333332,0.086000006,0.029333333,0.019333333
C01013,49,31,0,19,99,0.494949495,0.313131313,0,0.191919192,0.287298399,0.013104839,0.659274177,0.022177423,0.018145162
C01014,131,32,15,39,217,0.603686636,0.147465438,0.069124424,0.179723502,0.604134737,0.107197572,0.164624821,0.095712089,0.028330781
C01015,86,71,12,20,189,0.455026455,0.375661376,0.063492063,0.105820106,0.509105313,0.038796522,0.40538398,0.026920044,0.01979414
C01016,107,54,5,27,193,0.554404145,0.279792746,0.025906736,0.139896373,0.338999998,0.018000014,0.601999991,0.021999997,0.019
C01017,102,64,7,25,198,0.515151515,0.323232323,0.035353535,0.126262626,0.284655298,0.08228317,0.613787994,0.00518903,0.014084508
C01018,99,60,13,47,219,0.452054795,0.273972603,0.059360731,0.214611872,0.363509744,0.105849582,0.487465185,0.014623956,0.028551533
C01019,150,85,10,47,292,0.51369863,0.29109589,0.034246575,0.160958904,0.325437149,0.033840946,0.601240795,0.025944729,0.013536381
C01020,83,50,8,34,175,0.474285714,0.285714286,0.045714286,0.194285714,0.361913369,0.129061376,0.463898903,0.017148013,0.027978339
C01021,77,33,8,53,171,0.450292398,0.192982456,0.046783626,0.30994152,0.787091957,0.027448077,0.097181034,0.065281897,0.022997035
C01022,79,37,4,8,128,0.6171875,0.2890625,0.03125,0.0625,0.238963527,0.036468357,0.679462555,0.031669861,0.0134357
C01023,148,73,6,67,294,0.503401361,0.24829932,0.020408163,0.227891156,0.457587979,0.054818237,0.437391824,0.027120599,0.023081361
C01024,110,32,2,16,160,0.6875,0.2,0.0125,0.1,0.171724143,0.260689651,0.538620688,0.007586208,0.02137931
C01025,84,43,6,15,148,0.567567568,0.290540541,0.040540541,0.101351351,0.381473377,0.167760765,0.401167025,0.024070021,0.025528812
C01026,97,32,7,14,150,0.646666667,0.213333333,0.046666667,0.093333333,0.07885305,0.060931901,0.847311819,0.003584232,0.009318997
C01027,91,41,8,26,166,0.548192771,0.246987952,0.048192771,0.156626506,0.397270149,0.030172411,0.515804562,0.028017247,0.028735632
C01028,105,11,3,6,125,0.84,0.088,0.024,0.048,0.094949662,0.450504941,0.430302945,0.006060629,0.018181823
C01029,115,56,6,41,218,0.527522936,0.256880734,0.027522936,0.188073394,0.464653885,0.038291607,0.430780576,0.038291605,0.027982327
C01030,129,75,12,30,246,0.524390244,0.304878049,0.048780488,0.12195122,0.192331481,0.105751381,0.679035257,0.010513297,0.012368584
C01031,148,39,4,17,208,0.711538462,0.1875,0.019230769,0.081730769,0.289491998,0.104384137,0.540013916,0.041057758,0.025052191
C01032,94,36,15,49,194,0.484536082,0.18556701,0.077319588,0.25257732,0.637715171,0.013302036,0.302816909,0.032863848,0.013302036
C01033,105,50,6,70,231,0.454545455,0.216450216,0.025974026,0.303030303,0.492819863,0.043733684,0.411879873,0.034595301,0.016971279
C01034,85,56,3,29,173,0.49132948,0.323699422,0.01734104,0.167630058,0.411478589,0.028210114,0.508754883,0.034046688,0.017509725
C01035,87,60,9,59,215,0.404651163,0.279069767,0.041860465,0.274418605,0.549242425,0.015151515,0.381944442,0.031565657,0.022095961
C01036,52,48,5,86,191,0.272251309,0.251308901,0.02617801,0.45026178,0.676067075,0.017530491,0.226371944,0.051829271,0.02820122
C01037,77,69,3,49,198,0.388888889,0.348484848,0.015151515,0.247474747,0.727125512,0.01295547,0.202429144,0.041295544,0.016194331
C01038,129,35,8,42,214,0.602803738,0.163551402,0.037383178,0.196261682,0.538659812,0.043814448,0.347078997,0.039518908,0.030927835
C01039,70,37,3,64,174,0.402298851,0.212643678,0.017241379,0.367816092,0.415949975,0.025019546,0.52306488,0.020328383,0.015637217
C01040,119,58,11,30,218,0.54587156,0.266055046,0.050458716,0.137614679,0.409176642,0.101194208,0.445003126,0.027027029,0.017598995
C01041,55,51,11,34,151,0.364238411,0.337748344,0.072847682,0.225165563,0.432918434,0.049792518,0.457814639,0.031811895,0.027662514
C01042,30,15,2,9,56,0.535714286,0.267857143,0.035714286,0.160714286,0.435840724,0.033185861,0.466814133,0.046460169,0.017699114
C01043,87,51,4,24,166,0.524096386,0.307228916,0.024096386,0.144578313,0.411368002,0.081888234,0.471098295,0.01734104,0.01830443
