JOINID,Pope_G,Garza_G,Martinez_G,Corona_G,Webb_G,Bautista_G,Huizar_G,TOTV_G,P_RO,G_RO,TOTV_RO,GPER_P,GPER_G,GPER_M,GPER_C,GPER_W,GPER_B,GPER_H,ROPER_P,ROPER_G,PER_WHITE,PER_BLACK,PER_HISP,PER_ASIAN,PER_OT
C10001,91,57,58,5,10,11,6,238,124,125,249,0.382352941,0.239495798,0.243697479,0.021008403,0.042016807,0.046218487,0.025210084,0.497991968,0.502008032,0.025232778,0.589876927,0.375220181,0.001611686,0.008058428
C10002,174,43,44,4,44,1,13,323,201,179,380,0.53869969,0.133126935,0.13622291,0.012383901,0.13622291,0.003095975,0.040247678,0.528947368,0.471052632,0.50972761,0.017509729,0.460116744,0.003891052,0.008754865
C10003,176,48,29,3,34,2,21,313,238,130,368,0.562300319,0.153354633,0.092651757,0.009584665,0.108626198,0.006389776,0.067092652,0.64673913,0.35326087,0.52941177,0.05964052,0.395424835,0.007352941,0.008169935
C10004,58,39,41,15,8,13,12,186,102,152,254,0.311827957,0.209677419,0.220430108,0.080645161,0.043010753,0.069892473,0.064516129,0.401574803,0.598425197,0.043644298,0.478996202,0.464811765,0.000545554,0.012002182
C10005,133,45,27,4,27,0,18,254,187,119,306,0.523622047,0.177165354,0.106299213,0.015748031,0.106299213,0,0.070866142,0.611111111,0.388888889,0.393489052,0.027600847,0.565463532,0.002123143,0.011323426
C10006,132,31,26,4,2,13,35,243,186,115,301,0.543209877,0.127572016,0.106995885,0.016460905,0.008230453,0.053497942,0.144032922,0.617940199,0.382059801,0.165779471,0.039543735,0.784030406,0.00608365,0.004562738
C10007,81,30,31,20,6,7,22,197,101,131,232,0.411167513,0.152284264,0.157360406,0.101522843,0.030456853,0.035532995,0.111675127,0.435344828,0.564655172,0.089245307,0.079823883,0.819724267,3.96E-11,0.011206543
C10008,29,19,64,0,4,7,3,126,65,98,163,0.23015873,0.150793651,0.507936508,0,0.031746032,0.055555556,0.023809524,0.398773006,0.601226994,0.007660577,0.758397155,0.22510314,0.002357101,0.006482027
C10009,159,66,23,2,61,1,27,339,246,153,399,0.469026549,0.194690265,0.067846608,0.005899705,0.179941003,0.002949853,0.079646018,0.616541353,0.383458647,0.473425192,0.0246063,0.489173233,0.002952756,0.009842519
C10010,123,111,35,4,15,4,45,337,178,203,381,0.364985163,0.329376855,0.103857567,0.011869436,0.044510386,0.011869436,0.133531157,0.467191601,0.532808399,0.35865388,0.021860944,0.609429459,0.003351906,0.006703812
C10011,132,109,43,9,5,4,40,342,196,277,473,0.385964912,0.31871345,0.125730994,0.026315789,0.014619883,0.011695906,0.116959064,0.414376321,0.585623679,0.145804034,0.015939991,0.828410685,0.002344116,0.007501173
C10012,83,50,25,6,9,4,16,193,115,133,248,0.430051813,0.259067358,0.129533679,0.031088083,0.046632124,0.020725389,0.082901554,0.463709677,0.536290323,0.235903339,0.014959724,0.724971233,0.013808974,0.01035673
C10013,147,33,77,4,5,2,26,294,185,181,366,0.5,0.112244898,0.261904762,0.013605442,0.017006803,0.006802721,0.088435374,0.505464481,0.494535519,0.036231884,0.236111165,0.70833328,0.001207729,0.018115941
C10014,160,141,49,15,9,4,43,421,213,283,496,0.380047506,0.334916865,0.116389549,0.035629454,0.021377672,0.009501188,0.102137767,0.429435484,0.570564516,0.254502837,0.016404225,0.716989612,0.003822103,0.008281223
C10015,287,70,37,11,28,27,3,463,325,220,545,0.61987041,0.151187905,0.079913607,0.023758099,0.060475162,0.058315335,0.006479482,0.596330275,0.403669725,0.010904425,0.960230918,0.015394483,0.000641437,0.012828737
C10016,106,32,39,2,18,2,7,206,174,107,281,0.514563107,0.155339806,0.189320388,0.009708738,0.087378641,0.009708738,0.033980583,0.619217082,0.380782918,0.357400728,0.093140795,0.527797829,0.004332129,0.017328519
C10017,240,72,39,3,63,4,8,429,330,166,496,0.559440559,0.167832168,0.090909091,0.006993007,0.146853147,0.009324009,0.018648019,0.665322581,0.334677419,0.480122312,0.031804278,0.475229373,0.001223242,0.011620795
C10018,73,30,15,6,7,6,9,146,92,102,194,0.5,0.205479452,0.102739726,0.04109589,0.047945205,0.04109589,0.061643836,0.474226804,0.525773196,0.022376925,0.372948794,0.592739921,0.00198906,0.0099453
C10019,132,100,41,6,25,0,29,333,198,219,417,0.396396396,0.3003003,0.123123123,0.018018018,0.075075075,0,0.087087087,0.474820144,0.525179856,0.361609577,0.013394013,0.610709462,0.004464671,0.009822277
C10020,127,118,44,8,7,9,25,338,174,237,411,0.375739645,0.349112426,0.130177515,0.023668639,0.020710059,0.026627219,0.073964497,0.423357664,0.576642336,0.260874915,0.017542566,0.714718038,0.00228816,0.004576321
C10021,132,65,53,13,4,9,41,317,193,193,386,0.416403785,0.205047319,0.167192429,0.041009464,0.012618297,0.028391167,0.129337539,0.5,0.5,0.148822474,0.050439793,0.792216593,0.002130285,0.006390856
