WARDS_PREC,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,H_2MORE,VAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP
W6-P9,2725,1645,681,36,82,1,8,109,163,81,14,4,1,0,48,15,2516,1567,609,29,78,1,7
W6-P7,1947,453,948,77,30,1,6,57,375,81,15,27,1,0,222,29,1420,431,635,56,23,1,1
W6-P6,3628,985,1382,136,63,1,19,169,873,275,32,25,1,0,480,60,2722,930,947,107,56,1,10
W6-P4,4083,2166,1448,93,107,6,4,107,152,54,11,6,0,0,62,19,3692,2149,1133,81,103,6,4
W7-P6,5378,2693,1721,103,452,8,6,153,242,141,15,4,1,0,49,32,5119,2645,1579,96,424,8,4
W5-P5,2607,602,1375,38,291,0,14,144,143,33,16,1,0,0,71,22,1861,529,960,24,177,0,4
W5-P8,4567,738,2198,69,861,0,20,277,404,118,28,29,2,0,195,32,2802,646,1311,47,467,0,5
W4-P3,3132,793,1323,57,478,2,16,167,296,86,18,1,3,0,161,27,1956,679,735,36,249,2,10
W3-P6,4540,2609,1086,78,112,4,11,143,497,163,15,27,1,0,227,64,3521,2352,582,51,88,4,9
W3-P5,2243,1784,143,19,84,1,1,65,146,44,3,2,0,1,78,18,2019,1670,117,19,71,1,1
W4-P7,2630,1762,501,30,81,1,4,122,129,39,7,3,0,0,54,26,2017,1483,336,21,46,1,3
W4-P4,3977,2452,795,37,300,4,23,173,193,91,14,7,1,0,59,21,3032,2079,540,28,178,3,8
W4-P1,3918,1672,953,54,609,0,11,186,433,170,8,2,3,0,192,58,2757,1433,589,41,365,0,8
W4-P6,3763,1271,1577,82,362,0,17,194,260,79,12,6,0,0,130,33,2622,1126,989,49,212,0,12
W6-P5,2909,439,1356,277,73,1,8,79,676,154,20,55,0,0,412,35,2086,404,988,192,57,1,5
W6-P3,5220,951,3373,21,580,0,8,121,166,53,5,0,3,0,94,11,3999,940,2279,20,548,0,7
W2-P7,1549,1114,151,16,144,2,5,52,65,30,7,4,0,0,19,5,1480,1103,113,12,142,2,5
W3-P9,1818,1327,253,31,92,0,9,44,62,29,5,5,0,0,21,2,1570,1278,136,13,80,0,5
W3-P3,3635,2789,266,38,293,0,7,100,142,79,1,2,0,0,46,14,3417,2696,196,28,290,0,6
W3-P2,3208,2337,129,27,401,1,4,69,240,117,4,13,3,0,78,25,3086,2294,113,23,391,1,3
W6-P1,1160,609,415,23,34,0,5,21,53,19,1,5,0,0,16,12,963,547,318,15,29,0,2
W6-P2,3544,1307,1795,71,166,2,3,93,107,45,15,9,0,0,24,14,2949,1219,1374,58,150,2,1
W2-P9,1972,1453,204,11,176,3,1,69,55,33,2,4,0,0,12,4,1812,1375,148,8,171,2,1
W2-P4,2507,1950,110,3,294,2,5,74,69,40,0,1,2,0,17,9,2503,1947,110,3,294,2,5
W3-P1,4429,3385,128,13,695,4,10,93,101,57,4,1,2,1,32,4,4400,3372,128,13,684,4,10
W13-P8,2970,2500,178,16,110,1,2,77,86,39,4,3,0,1,17,22,2316,2030,112,13,84,1,2
W13-P9,3700,3046,260,16,114,0,5,103,156,83,5,4,1,0,47,16,2924,2530,149,11,91,0,2
W13-P7,3668,3279,123,9,97,0,6,59,95,57,1,5,0,0,20,12,2752,2547,62,5,63,0,4
W13-P1,4132,3508,211,16,160,1,6,98,132,73,8,0,0,0,45,6,3610,3124,154,14,150,1,6
W10-P5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W7-P4D,3076,2716,59,5,136,0,7,65,88,60,4,0,0,0,17,7,2694,2415,51,3,122,0,4
W10-P3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10-P5A,2128,1807,134,9,37,3,4,65,69,30,3,3,0,0,25,8,1876,1628,107,6,35,3,2
W10-P6,3063,2494,206,16,90,1,9,91,156,94,6,3,0,0,37,16,2804,2346,170,16,81,1,9
W10-P3A,2457,2190,54,8,92,0,1,40,72,38,3,0,0,0,17,14,2189,1971,48,6,71,0,1
W7-P9,3169,2812,58,6,110,2,6,80,95,64,2,1,1,1,21,5,2865,2577,43,5,97,2,4
W10-P4,2584,2136,115,43,98,0,3,75,114,57,1,6,2,0,34,14,2371,2021,82,32,86,0,3
W10-P2,3252,2722,127,21,142,6,3,100,131,69,7,5,1,0,36,13,3063,2600,104,21,135,5,3
W11-P3,3887,2111,952,50,117,2,17,183,455,143,11,6,2,0,254,39,2937,1804,652,37,85,2,10
W12-P9,2461,1761,164,40,71,4,15,98,308,126,0,5,0,1,160,16,1963,1508,115,33,57,4,11
W9-P6,3998,1931,507,162,110,2,24,152,1110,254,24,31,1,0,709,91,3003,1705,327,115,90,2,11
W9-P8,541,124,204,34,11,2,0,22,144,32,9,2,2,0,71,28,409,120,157,29,9,1,0
W2-P2,1988,1614,139,25,53,0,4,60,93,38,7,0,2,0,28,18,1603,1376,71,20,34,0,4
W12-P6,1912,1626,91,30,41,0,4,47,73,34,0,4,1,0,22,12,1581,1399,63,22,30,0,3
W7-P2D,2024,1840,24,11,47,2,0,38,62,39,0,3,1,0,13,6,1521,1406,20,8,29,2,0
W7-P7,1941,1729,35,8,52,0,7,44,66,35,1,1,0,1,17,11,1639,1495,31,6,41,0,2
W7-P1C,1344,1194,41,6,49,0,3,27,24,20,0,0,0,0,2,2,1092,995,29,5,33,0,0
W5-P4,2427,414,1460,33,221,0,10,141,148,32,16,6,0,0,79,15,1634,358,978,23,117,0,5
W10-P1,2898,2414,143,16,108,0,8,90,119,58,5,1,1,0,34,20,2748,2319,125,16,106,0,5
W7-P3,3150,2794,96,13,96,0,8,59,84,43,1,2,1,0,23,14,2816,2504,92,13,81,0,7
W5-P7,4160,279,2596,33,530,0,4,190,528,195,41,6,2,0,238,46,2473,244,1555,21,275,0,3
W5-P1,4095,743,2255,49,456,0,7,264,321,82,52,12,1,0,144,30,2722,660,1481,33,233,0,5
W4-P8,4004,1557,1462,34,381,0,12,235,323,102,21,2,1,0,164,33,2737,1332,897,27,190,0,5
W5-P3,3224,342,1787,74,582,11,10,162,256,56,24,15,2,0,132,27,2002,303,1113,54,300,4,4
W5-P2,4837,935,2318,61,906,1,12,217,387,101,40,5,4,0,201,36,3025,827,1330,43,491,1,7
W4-P5,5344,1614,2388,78,579,0,9,298,378,142,26,17,7,0,161,25,3548,1392,1413,52,332,0,2
W7-P5,2890,2220,296,12,141,0,4,80,137,76,2,2,1,0,40,16,2797,2192,264,12,137,0,4
W7-P10,1108,820,140,10,49,0,0,31,58,22,2,8,2,0,17,7,1057,809,124,9,43,0,0
W7-P8,4983,3638,557,37,352,5,10,129,255,148,6,7,3,0,59,32,4787,3590,480,33,341,5,9
W3-P7,1856,1591,70,1,100,0,2,44,48,33,2,1,1,0,4,7,1769,1535,59,1,95,0,1
W1-P8,2179,1328,268,57,55,1,1,108,361,133,7,27,5,0,174,15,1798,1226,195,45,47,1,1
W1-P6,3508,2332,375,68,120,5,10,140,458,160,16,11,3,0,220,48,2937,2083,295,49,98,2,9
W1-P9,4578,2312,897,115,82,2,17,175,978,225,17,19,4,0,533,180,3421,2052,484,83,68,1,5
W1-P4,2990,2372,144,28,69,1,11,122,243,91,15,1,0,0,109,27,2391,1987,83,22,60,1,8
W1-P3,3380,2803,151,23,80,2,2,89,230,72,1,4,0,0,121,32,2691,2325,84,16,59,1,2
W1-P5,3144,2372,258,39,131,2,1,83,258,83,5,11,1,0,120,38,2568,2032,183,32,102,2,1
W2-P5,4260,2782,608,24,620,1,14,101,110,78,1,2,0,0,21,8,3792,2651,381,15,565,1,13
W2-P3,3171,2313,436,43,205,1,9,79,85,39,4,5,0,0,28,9,2836,2240,239,23,196,1,8
W1-P7,3318,2372,191,61,447,0,16,108,123,69,4,13,2,0,17,18,2956,2220,137,44,377,0,13
W1-P2,4218,3366,229,23,183,1,9,121,286,139,3,7,0,0,104,33,3406,2852,148,21,135,1,6
W11-P2,3177,2691,209,16,45,4,1,85,126,67,5,0,0,0,40,14,2465,2130,179,13,37,4,1
W11-P1,2267,1981,67,5,67,2,0,70,75,46,2,2,0,0,12,13,1759,1580,51,2,48,0,0
W11-P10,2488,1940,224,7,53,4,6,66,188,77,8,1,0,0,87,15,1922,1578,163,6,39,2,4
W11-P5,1898,1674,67,9,46,0,2,53,47,33,1,0,1,0,7,5,1399,1265,50,6,33,0,2
W8-P5,3357,2000,724,31,91,1,19,165,326,71,8,3,1,0,221,22,2675,1714,571,18,65,1,10
W8-P7,3987,3218,317,28,75,0,26,132,191,92,6,4,5,1,44,39,3072,2595,193,24,60,0,16
W8-P6,3486,2428,324,34,80,1,14,117,488,237,8,10,1,0,188,44,2787,2069,230,26,60,1,9
W8-P2,4510,2620,546,49,138,5,34,167,951,276,20,16,7,0,569,63,3720,2419,385,36,113,4,12
W8-P1,2909,879,989,46,46,1,18,90,840,206,9,22,6,0,549,48,2343,838,797,34,43,0,10
W10-P9,4446,2244,985,106,235,0,13,133,730,282,25,29,4,0,322,68,3781,2168,680,93,193,0,10
W8-P4,2467,1062,770,25,101,0,9,106,394,123,8,17,0,0,208,38,1884,911,576,16,73,0,6
W8-P3,3428,738,1038,68,142,1,4,109,1328,368,17,8,2,0,861,72,2305,645,659,41,93,1,2
W6-P8,2780,742,1077,36,95,1,9,112,708,199,9,17,0,0,446,37,2056,697,705,22,71,1,5
W11-P6,3176,2807,117,4,60,0,1,96,91,36,0,2,0,0,36,17,2430,2209,85,4,48,0,0
W11-P4,3608,2941,243,52,93,2,6,100,171,65,4,17,3,0,58,24,2778,2368,146,35,63,1,4
W8-P8,4132,2565,628,103,144,0,18,180,494,147,11,18,1,0,286,31,3175,2186,439,65,111,0,7
W9-P7,1942,1116,305,61,41,0,8,88,323,112,5,11,0,0,171,24,1493,969,196,40,36,0,6
W9-P2,4998,2217,699,128,85,2,21,203,1643,509,16,26,19,0,934,139,3618,1909,442,95,68,2,12
W9-P5,1715,489,194,78,79,0,4,53,818,224,4,17,0,0,527,46,1182,417,111,47,56,0,4
W9-P3,4782,1085,1183,264,123,10,11,157,1949,523,22,44,0,0,1201,159,3322,970,717,178,100,6,5
W9-P4,4213,664,867,777,123,3,9,150,1620,484,20,160,5,1,840,110,2686,587,506,445,90,3,7
W11-P7,3315,2657,223,16,104,3,5,99,208,79,2,1,0,0,114,12,2509,2103,163,10,75,2,0
W11-P8,3045,2421,193,50,63,1,12,90,215,87,4,4,0,1,101,18,2377,2009,124,27,47,1,4
W11-P9,2665,1234,551,66,76,0,12,76,650,144,9,7,3,0,409,78,1925,1074,328,46,58,0,7
W12-P10,2830,2111,207,49,56,0,5,105,297,102,5,4,0,0,150,36,2295,1830,143,33,50,0,1
W12-P7,399,367,23,3,1,1,0,3,1,0,0,0,0,0,1,0,399,367,23,3,1,1,0
W12-P4,1705,1385,99,20,38,0,4,58,101,36,1,0,0,0,57,7,1413,1187,78,13,31,0,1
W12-P3,3357,2761,183,53,86,0,5,88,181,71,2,5,0,0,85,18,2835,2417,128,39,71,0,2
W12-P2,2945,2368,187,73,58,0,5,99,155,70,4,5,0,0,59,17,2394,2026,126,50,44,0,1
W12-P1,3663,2514,381,105,101,0,5,159,398,147,3,25,1,0,188,34,2878,2143,258,77,82,0,1
W2-P8,3503,2942,114,45,113,0,2,102,185,71,4,22,3,2,61,22,2833,2472,87,38,80,0,1
W2-P6,1558,1297,63,14,109,1,4,36,34,24,1,0,0,0,6,3,1442,1212,57,14,102,1,4
W4-P2,5116,2436,1426,95,512,0,7,262,378,130,23,7,0,0,184,34,3766,2136,906,65,314,0,5
W1-P1,1382,900,162,62,57,1,9,62,129,59,1,2,0,0,54,13,1095,805,93,42,39,1,4
