Asian,Black,Hispanic,White
0.4799,15.5114,14.1101,19.8986
0.4806,15.5695,14.1389,19.811
0.4873,15.6263,14.1547,19.7317
0.4872,15.7103,14.1961,19.6064
0.4786,15.4929,14.1221,19.9064
0.4869,15.4778,14.14,19.8953
0.4895,15.4913,14.1234,19.8958
0.4812,15.494,14.1249,19.8999
0.7637,14.8824,15.0316,19.3223
1.0297,14.3138,15.9346,18.7219
0.4919,15.5111,14.085,19.912
0.4953,15.5683,14.0365,19.8999
0.499,15.6338,13.9928,19.8744
0.5147,15.681,13.9408,19.8635
0.4657,15.463,14.1904,19.8809
0.4672,15.4178,14.2163,19.8987
0.4863,15.4983,14.1153,19.9001
0.4777,15.4938,14.1514,19.8771
0.4806,15.5111,14.1279,19.8804
0.4832,15.4661,14.1533,19.8974
