Asian,Black,Hispanic,White
0.062,10.3096,8.7718,10.8566
0.0884,10.1517,8.8865,10.8734
0.0985,9.9737,9.0255,10.9023
0.1203,9.8231,9.1324,10.9242
0.1458,9.6874,9.2453,10.9215
0.0631,10.3454,8.6919,10.8996
0.0576,10.3843,8.5955,10.9626
0.0593,10.4189,8.4517,11.0701
0.0646,10.3068,8.7699,10.8587
0.0635,10.3122,8.7856,10.8387
0.0583,10.3167,8.7722,10.8528
0.0599,10.3188,8.7804,10.8409
0.0648,10.3033,8.7228,10.9091
0.056,10.3323,8.8384,10.7733
0.0609,10.2868,8.7903,10.862
0.1011,10.2585,8.6883,10.9521
0.1012,10.3017,8.6766,10.9205
0.0614,10.3101,8.7859,10.8426
0.0619,10.3243,8.7725,10.8413
0.0602,10.3101,8.786,10.8437
