,BBB,BBH,BBW,BHB,BHH,BHW,BWB,BWH,BWW,HBB,HBH,HBW,HHB,HHH,HHW,HWB,HWH,HWW,WBB,WBH,WBW,WHB,WHH,WHW,WWB,WWH,WWW
C10001,0.0,0.0,2.2193308550185873,0.0,0.0,0.0,2.546468401486989,0.0,40.02230483271375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3137488572547995,0.0,24.16210656915241,0.0,0.0,0.0,23.783384484785167,0.0,54.85852814418179
C10002,0.0,0.0,0.49821713071845836,0.0,0.0,0.0,0.5716561717623853,0.0,8.984599044078598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.319772756954421,0.0,42.664620608593445,0.0,0.0,0.0,41.99588611727831,0.0,96.86731095729398
C10003,0.0,0.0,0.5435095971474091,0.0,0.0,0.0,0.6236249146498748,0.0,9.80138077535847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154074702886248,0.0,39.617147707979626,0.0,0.0,0.0,38.996179966044146,0.0,89.94821731748726
C10004,0.0,0.0,0.9964342614369167,0.0,0.0,0.0,1.1433123435247705,0.0,17.969198088157196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9350104479561187,0.0,17.196454224892257,0.0,0.0,0.0,16.926913281964218,0.0,39.043456967480736
C10005,0.0,0.0,0.5435095971474091,0.0,0.0,0.0,0.6236249146498748,0.0,9.80138077535847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7990074441687347,0.0,33.08684863523573,0.0,0.0,0.0,32.5682382133995,0.0,75.12158808933002
C10006,0.0,0.0,0.2264623321447538,0.0,0.0,0.0,0.2598437144374478,0.0,4.0839086563993625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4794469113229725,0.0,27.209579469766226,0.0,0.0,0.0,26.78309063601933,0.0,61.7776217839885
C10007,0.0,0.0,0.4529246642895076,0.0,0.0,0.0,0.5196874288748956,0.0,8.167817312798725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941883244090375,0.0,18.284837403682904,0.0,0.0,0.0,17.99823690740499,0.0,41.51456183884027
C10008,0.0,0.0,1.313481526439572,0.0,0.0,0.0,1.5070935437371975,0.0,23.686670207116304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6272854904009404,0.0,11.53686169518088,0.0,0.0,0.0,11.356030429672195,0.0,26.193711636411127
C10009,0.0,0.0,0.49821713071845836,0.0,0.0,0.0,0.5716561717623853,0.0,8.984599044078598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2961016063732536,0.0,42.22926733707718,0.0,0.0,0.0,41.567356667102,0.0,95.87886900875016
C10010,0.0,0.0,0.18116986571580304,0.0,0.0,0.0,0.20787497154995827,0.0,3.26712692511949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7871718688781508,0.0,32.8691719994776,0.0,0.0,0.0,32.353973488311354,0.0,74.6273671150581
C10011,0.0,0.0,0.27175479857370455,0.0,0.0,0.0,0.3118124573249374,0.0,4.900690387679235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4912824866135563,0.0,27.427256105524357,0.0,0.0,0.0,26.997355361107484,0.0,62.27184275826041
C10012,0.0,0.0,0.18116986571580304,0.0,0.0,0.0,0.20787497154995827,0.0,3.26712692511949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1953931043489618,0.0,21.98534021157111,0.0,0.0,0.0,21.640737233903618,0.0,49.91631840146271
C10013,0.0,0.0,0.8152643957211136,0.0,0.0,0.0,0.9354373719748121,0.0,14.702071163037706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4794469113229725,0.0,27.209579469766226,0.0,0.0,0.0,26.78309063601933,0.0,61.7776217839885
C10014,0.0,0.0,0.18116986571580304,0.0,0.0,0.0,0.20787497154995827,0.0,3.26712692511949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9528699229463238,0.0,35.91664490009142,0.0,0.0,0.0,35.35367963954552,0.0,81.54646075486482
C10015,0.0,0.0,7.11091722934527,0.0,0.0,0.0,8.159092633335861,0.0,128.23473181094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.461799660441426,0.0,45.276740237691,0.0,0.0,0.0,44.56706281833617,0.0,102.79796264855688
C10016,0.0,0.0,0.2264623321447538,0.0,0.0,0.0,0.2598437144374478,0.0,4.0839086563993625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4202690348700537,0.0,26.12119629097558,0.0,0.0,0.0,25.711767010578555,0.0,59.306516912628965
C10017,0.0,0.0,0.6793869964342614,0.0,0.0,0.0,0.7795311433123435,0.0,12.251725969198088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0299072743894477,0.0,55.72521875408123,0.0,0.0,0.0,54.85176962256759,0.0,126.52056941360846
