,BBB,BBH,BBW,BHB,BHH,BHW,BWB,BWH,BWW,HBB,HBH,HBW,HHB,HHH,HHW,HWB,HWH,HWW,WBB,WBH,WBW,WHB,WHH,WHW,WWB,WWH,WWW
C01001,4.9404657678164945,0.0,6.495797583610576,0.0,0.0,0.0,10.10050779198039,0.0,76.1014708457363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5646725346859616,0.0,4.163807250484857,0.0,0.0,0.0,6.150231239743399,0.0,17.862897210204387
C01002,3.522150236385922,0.0,4.630975310803713,0.0,0.0,0.0,7.200840483277885,0.0,54.2541586412187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5236054412542552,0.0,3.8609849049950493,0.0,0.0,0.0,5.702941695034788,0.0,16.563777413098613
C01003,4.373139555244265,0.0,5.749868674487831,0.0,0.0,0.0,8.940640868499386,0.0,67.36254596392926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597412284865664,0.0,5.6022133915614445,0.0,0.0,0.0,8.2748565771093,0.0,24.03371624645681
C01004,3.758536158291017,0.0,4.9417790229381895,0.0,0.0,0.0,7.684118368061635,0.0,57.89537734197163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753434690030245,0.0,7.192030705382935,0.0,0.0,0.0,10.623126686829506,0.0,30.85409518126212
C01005,4.13675363333917,0.0,5.439064962353354,0.0,0.0,0.0,8.457362983715637,0.0,63.72132726317633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7186741350548601,0.0,5.299391046071636,0.0,0.0,0.0,7.827567032400689,0.0,22.734596449351038
C01006,3.1912099457187884,0.0,4.195850113815444,0.0,0.0,0.0,6.524251444580634,0.0,49.156452460164594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9034760554975385,0.0,6.662091600775772,0.0,0.0,0.0,9.840369983589438,0.0,28.580635536327016
C01007,3.4275958676238836,0.0,4.506653825949922,0.0,0.0,0.0,7.0075293293643846,0.0,52.797671160917524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3901373876012098,0.0,2.876812282153174,0.0,0.0,0.0,4.249250674731803,0.0,12.341638072504848
C01008,3.5457888285764314,0.0,4.66205568201716,0.0,0.0,0.0,7.24916827175626,0.0,54.618280511293996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597412284865664,0.0,5.6022133915614445,0.0,0.0,0.0,8.2748565771093,0.0,24.03371624645681
C01009,2.931185431623183,0.0,3.853966030467519,0.0,0.0,0.0,5.992645771318508,0.0,45.15111188933637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7802747752024196,0.0,5.753624564306348,0.0,0.0,0.0,8.498501349463606,0.0,24.683276145009696
C01010,3.8294519348625458,0.0,5.035020136578533,0.0,0.0,0.0,7.829101733496761,0.0,58.987742952197515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6673402682652273,0.0,4.920863114209377,0.0,0.0,0.0,7.268455101514926,0.0,21.11069670296882
C01011,4.9168271756259845,0.0,6.464717212397129,0.0,0.0,0.0,10.052180003502013,0.0,75.737348975661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7289409084127867,0.0,5.375096632444088,0.0,0.0,0.0,7.939389418577842,0.0,23.05937639862748
C01012,5.15321309753108,0.0,6.775520924531606,0.0,0.0,0.0,10.535457888285764,0.0,79.37856767641394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392076817707133,0.0,5.45080221881654,0.0,0.0,0.0,8.051211804754995,0.0,23.384156347903925
C01013,2.2456662580984066,0.0,2.952635265277535,0.0,0.0,0.0,4.591139905445631,0.0,34.59157765715286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3798706142432832,0.0,2.8011066957807222,0.0,0.0,0.0,4.13742828855465,0.0,12.016858123228404
C01014,4.325862370863246,0.0,5.687707932060936,0.0,0.0,0.0,8.843985291542637,0.0,66.63430222377868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8316086419920524,0.0,6.132152496168608,0.0,0.0,0.0,9.057613280349369,0.0,26.307175891391914
C01015,3.569427420766941,0.0,4.6931360532306075,0.0,0.0,0.0,7.297496060234635,0.0,54.98240238136928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5954728547597413,0.0,4.390924009602213,0.0,0.0,0.0,6.485698398274857,0.0,18.837237058033715
