,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C01001,17.862897210204387,6.150231239743399,0,4.163807250484857,0.5646725346859616,0,0,0,0,76.1014708457363,10.10050779198039,0,6.495797583610576,4.9404657678164945,0,0,0,0,0,0,0,0,0,0,0,0,0
C01002,16.563777413098613,5.702941695034788,0,3.8609849049950493,0.5236054412542552,0,0,0,0,54.2541586412187,7.200840483277885,0,4.630975310803713,3.522150236385922,0,0,0,0,0,0,0,0,0,0,0,0,0
C01003,24.03371624645681,8.2748565771093,0,5.6022133915614445,0.7597412284865664,0,0,0,0,67.36254596392926,8.940640868499386,0,5.749868674487831,4.373139555244265,0,0,0,0,0,0,0,0,0,0,0,0,0
C01004,30.85409518126212,10.623126686829506,0,7.192030705382935,0.9753434690030245,0,0,0,0,57.89537734197163,7.684118368061635,0,4.9417790229381895,3.758536158291017,0,0,0,0,0,0,0,0,0,0,0,0,0
C01005,22.734596449351038,7.827567032400689,0,5.299391046071636,0.7186741350548601,0,0,0,0,63.72132726317633,8.457362983715637,0,5.439064962353354,4.13675363333917,0,0,0,0,0,0,0,0,0,0,0,0,0
C01006,28.580635536327016,9.840369983589438,0,6.662091600775772,0.9034760554975385,0,0,0,0,49.156452460164594,6.524251444580634,0,4.195850113815444,3.1912099457187884,0,0,0,0,0,0,0,0,0,0,0,0,0
C01007,12.341638072504848,4.249250674731803,0,2.876812282153174,0.3901373876012098,0,0,0,0,52.797671160917524,7.0075293293643846,0,4.506653825949922,3.4275958676238836,0,0,0,0,0,0,0,0,0,0,0,0,0
C01008,24.03371624645681,8.2748565771093,0,5.6022133915614445,0.7597412284865664,0,0,0,0,54.618280511293996,7.24916827175626,0,4.66205568201716,3.5457888285764314,0,0,0,0,0,0,0,0,0,0,0,0,0
C01009,24.683276145009696,8.498501349463606,0,5.753624564306348,0.7802747752024196,0,0,0,0,45.15111188933637,5.992645771318508,0,3.853966030467519,2.931185431623183,0,0,0,0,0,0,0,0,0,0,0,0,0
C01010,21.11069670296882,7.268455101514926,0,4.920863114209377,0.6673402682652273,0,0,0,0,58.987742952197515,7.829101733496761,0,5.035020136578533,3.8294519348625458,0,0,0,0,0,0,0,0,0,0,0,0,0
C01011,23.05937639862748,7.939389418577842,0,5.375096632444088,0.7289409084127867,0,0,0,0,75.737348975661,10.052180003502013,0,6.464717212397129,4.9168271756259845,0,0,0,0,0,0,0,0,0,0,0,0,0
C01012,23.384156347903925,8.051211804754995,0,5.45080221881654,0.7392076817707133,0,0,0,0,79.37856767641394,10.535457888285764,0,6.775520924531606,5.15321309753108,0,0,0,0,0,0,0,0,0,0,0,0,0
C01013,12.016858123228404,4.13742828855465,0,2.8011066957807222,0.3798706142432832,0,0,0,0,34.59157765715286,4.591139905445631,0,2.952635265277535,2.2456662580984066,0,0,0,0,0,0,0,0,0,0,0,0,0
C01014,26.307175891391914,9.057613280349369,0,6.132152496168608,0.8316086419920524,0,0,0,0,66.63430222377868,8.843985291542637,0,5.687707932060936,4.325862370863246,0,0,0,0,0,0,0,0,0,0,0,0,0
C01015,18.837237058033715,6.485698398274857,0,4.390924009602213,0.5954728547597413,0,0,0,0,54.98240238136928,7.297496060234635,0,4.6931360532306075,3.569427420766941,0,0,0,0,0,0,0,0,0,0,0,0,0
C01016,23.05937639862748,7.939389418577842,0,5.375096632444088,0.7289409084127867,0,0,0,0,71.0037646646822,9.423918753283138,0,6.060672386622308,4.609525477149361,0,0,0,0,0,0,0,0,0,0,0,0,0
C01017,13.965537818887066,4.808362605617567,0,3.2553402140154337,0.44147125439084267,0,0,0,0,66.27018035370338,8.795657503064263,0,5.656627560847488,4.302223778672737,0,0,0,0,0,0,0,0,0,0,0,0,0
C01018,15.589437565269282,5.36747453650333,0,3.6338681458776936,0.49280512118047554,0,0,0,0,71.0037646646822,9.423918753283138,0,6.060672386622308,4.609525477149361,0,0,0,0,0,0,0,0,0,0,0,0,0
C01019,23.384156347903925,8.051211804754995,0,5.45080221881654,0.7392076817707133,0,0,0,0,73.18849588513395,9.713885484153389,0,6.247154613902994,4.751357030292418,0,0,0,0,0,0,0,0,0,0,0,0,0
C01020,9.743398478293301,3.354671585314581,0,2.2711675911735583,0.3080032007377972,0,0,0,0,61.900717912799855,8.21572404132376,0,5.283663106286115,4.018560672386622,0,0,0,0,0,0,0,0,0,0,0,0,0
C01021,23.05937639862748,7.939389418577842,0,5.375096632444088,0.7289409084127867,0,0,0,0,66.63430222377868,8.843985291542637,0,5.687707932060936,4.325862370863246,0,0,0,0,0,0,0,0,0,0,0,0,0
C01022,13.640757869610622,4.696540219440414,0,3.179634627642982,0.4312044810329161,0,0,0,0,41.14577131850814,5.461040098056382,0,3.512081947119594,2.6711609175275783,0,0,0,0,0,0,0,0,0,0,0,0,0
C01023,23.05937639862748,7.939389418577842,0,5.375096632444088,0.7289409084127867,0,0,0,0,104.13885484153388,13.821747504815269,0,8.888986167046053,6.760637366485729,0,0,0,0,0,0,0,0,0,0,0,0,0
C01024,13.965537818887066,4.808362605617567,0,3.2553402140154337,0.44147125439084267,0,0,0,0,52.06942742076694,6.9108737524076345,0,4.444493083523026,3.3803186832428644,0,0,0,0,0,0,0,0,0,0,0,0,0
C01025,12.016858123228404,4.13742828855465,0,2.8011066957807222,0.3798706142432832,0,0,0,0,66.63430222377868,8.843985291542637,0,5.687707932060936,4.325862370863246,0,0,0,0,0,0,0,0,0,0,0,0,0
