,WWW,WWB,WWH,WBW,WBB,WBH,WHW,WHB,WHH,BWW,BWB,BWH,BBW,BBB,BBH,BHW,BHB,BHH,HWW,HWB,HWH,HBW,HBB,HBH,HHW,HHB,HHH
C10001,54.30911737725841,26.60006780201811,0,28.317772105452082,0.719399353886651,0,0,0,0,45.87379589557448,1.6212480804132348,0,0.8414072316068686,0.03420354600027921,0,0,0,0,0,0,0,0,0,0,0,0,0
C10002,95.89718023371755,46.96948909185179,0,50.00255254656403,1.2702907510070593,0,0,0,0,10.298199078598353,0.3639536507050119,0,0.18888733770766436,0.00767834706128717,0,0,0,0,0,0,0,0,0,0,0,0,0
C10003,89.04738164559487,43.61452558529095,0,46.43094165038089,1.179555697363698,0,0,0,0,11.234398994834567,0.39704034622364937,0,0.2060589138629066,0.008376378612313277,0,0,0,0,0,0,0,0,0,0,0,0,0
C10004,38.65243489012085,18.931579787021896,0,20.154090057033464,0.5120049455589678,0,0,0,0,20.596398157196706,0.7279073014100238,0,0.3777746754153287,0.01535669412257434,0,0,0,0,0,0,0,0,0,0,0,0,0
C10005,74.3692418139034,36.425318071232006,0,38.77748972998844,0.9851234395564951,0,0,0,0,11.234398994834567,0.39704034622364937,0,0.2060589138629066,0.008376378612313277,0,0,0,0,0,0,0,0,0,0,0,0,0
C10006,61.15891596538109,29.95503130857895,0,31.889383001635228,0.8101344075300123,0,0,0,0,4.680999581181069,0.16543347759318722,0,0.08585788077621108,0.0034901577551305317,0,0,0,0,0,0,0,0,0,0,0,0,0
C10007,41.09879152873609,20.129781039365056,0,21.42966537709887,0.5444103218601682,0,0,0,0,9.361999162362139,0.33086695518637443,0,0.17171576155242216,0.006980315510261063,0,0,0,0,0,0,0,0,0,0,0,0,0
C10008,25.93138036932158,12.700933274837475,0,13.521098392693336,0.3434969887927252,0,0,0,0,27.149797570850204,0.9595141700404859,0,0.4979757085020243,0.020242914979757085,0,0,0,0,0,0,0,0,0,0,0,0,0
C10009,94.91863757827144,46.490208590914534,0,49.492322418537874,1.2573286004865791,0,0,0,0,10.298199078598353,0.3639536507050119,0,0.18888733770766436,0.00767834706128717,0,0,0,0,0,0,0,0,0,0,0,0,0
C10010,73.87997048618035,36.185677820763374,0,38.522374665975356,0.978642364296255,0,0,0,0,3.7447996649448556,0.13234678207454978,0,0.06868630462096886,0.0027921262041044254,0,0,0,0,0,0,0,0,0,0,0,0,0
